DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
10-10-2015,ODD,13,RMSD_9_5_DVD_SATA_Bare_Std,5000004,57368,FIGTREECTO,NORMAWARZURA_MAT (RMSD_APJ),1,Good
19-12-2015,ODM Mechanical,13,9GTFM_CFG,1865,61590,DINO2BTX,BTX_XPS_NOTEBOOKS,78,Bad
05-03-2016,ODD Mechanical,13,GKM4Y_SCR,2190,62856,PARKCITY15BTX,BTX_LATITUDE,642,Bad
17-09-2016,Battery,13,OAK14/15_4_2.8_PRIMARY,5000948,55725,CEDAR15HSWBTX,BTX_PERSONAL_NOTEBOOKS,1,Bad
30-04-2016,MOUSE,8,MSE_ENTRY_OPTICAL_INDIGO_POS,5000947,54265,GENERAL SFF BTX,BTX_PERSONAL_DESKTOPS,1,Normal
09-04-2016,Battery,13,Iris/Tulip/VG14/Loveland_15_17_4_2.8_PRIMARY,1865,60147,TULIP15BDWBTX,BTX_PERSONAL_NOTEBOOKS,1,Bad
18-06-2016,HDD_NB_DT,8,HDD_1TB_SATA_6G_DT,2190,54358,GREATBEAR MT BTX,BTX_VOSTRO_DESKTOPS,24,Bad
07-01-2017,LCD,15,15.6HD_AG_ULSLIM_E7_NBLCD,2190,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,1,Normal
26-12-2015,ODM Mechanical,13,Camera_NB HD 2x mic E6 FHKK7,5000236,57527,HOUSTON15CTO,PHOAY_HOON_TAN (LATI LCD),232,Good
16-01-2016,CORD,10,PWr_CORD_2T530,5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,1,Normal
30-04-2016,MOUSE,8,MSE_ENTRY_OPTICAL_INDIGO_POS,5000947,54265,GENERAL SFF BTX,BTX_PERSONAL_DESKTOPS,1,Normal
04-06-2016,Wireless,8,CRD_WRLES_DW1602_MCRD,1865,53301,DIESEL15GREYFED,CHEE_KEAT_CHONG(WIRELESS_RELATIONSHIPNB),1,Good
03-09-2016,ODM Mechanical,13,"JDX5Y-KIT,CVR,BZL,HNG,N-TCH,WW,LL14",2190,62878,LOVELAND14BCTO,KATARINA_HUDECOVA_COMMERICAL_NOTEBOOKS,69,Good
24-09-2016,SSD_NB_DT,8,SSD_NB_FULL_MINI_1TB_SATA,30000,56151,MAGELLAN14CTO,CHOON_PHENG_OOI,1,Good
05-11-2016,CORD,10,CABLE-K260C,1865,60149,TULIP14SKLBTX,BTX_PERSONAL_NOTEBOOKS,1,Normal
16-01-2016,CORD,10,PWr_CORD_2T530,5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,1,Normal
28-05-2016,Keyboard_NBK,17,"NBKYBD_KYBD,106,TCHI,M14IXFP",5001417,62857,PARKCITY15CTO,ELISE_TAN (NBK_KYBD),1,Good
07-01-2017,ODM Mechanical,13,"8DY07-HNG,CAP,LT,N-TCH,E7270",5000960,62904,BEAVERCREEK12BTX,BTX_LATITUDE,15,Bad
14-05-2016,HDD_NB_DT,8,HDD_500GB_SATA_6G_DT,5000947,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,21,Normal
29-04-2017,Nic Card,22,GRY5H_CFG,5000960,54095,TIGRIS MT,SERENA_YANG,1,Good
16-07-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,2190,62420,BLUEFINAIOBTX,BTX_OPTIPLEX_DESKTOPS,13,Fair
02-07-2016,LCD,15,"RX60J-ASSY,LCD,LG,N-TCH,3048",5000960,55271,CASPIANBTX,BTX_PERSONAL_DESKTOPS,1,Bad
03-12-2016,Memory,13,MEM_SODIMM_DDR3L_1600_4GB,5000947,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,1,Normal
07-01-2017,Battery,13,Belmont_3_Thin_Pris,5000004,59515,BELMONTBTX,BTX_CHROME,1,Bad
09-07-2016,ODM Mechanical,13,Camera_NB HD 2x mic als GNXH5 Redwood-Cottonwood,5000005,61239,REDWOODMLKBSWBTX,HANNAH_H,1,Good
30-01-2016,Memory,13,MEM_ECC_SODIMM_DDR4_2133_16GB,30000,63039,PARKCITY-P15CTO,QUEENNIE_SAW (MEMNBK),1,Good
22-10-2016,Wireless,8,CRD_WRLES_M.2_3165AC,5000960,63886,PANDORA15SKLBTX,BTX_PERSONAL_NOTEBOOKS,709,Bad
19-12-2015,Docking,8,KRHNW,5000947,57521,HOUSTON14CTO,MAGGIE_ZHONG,19,Good
01-04-2017,SSD_NB_DT,8,SSD_NB_FULL_MINI_512GB_SATA,5000945,199,PARTS,CHOON_PHENG_OOI,1,Good
16-01-2016,CORD,10,PWr_CORD_2T530,5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,1,Normal
26-12-2015,ODM Mechanical,13,"75KKT-HNG,CAP,RT,N-TCH,E7270",1865,62904,BEAVERCREEK12BTX,BTX_LATITUDE,1,Bad
09-07-2016,Graphic Card,19,Dongle_DP-to-DVI-D(SL),5001416,56530,AVALON7910CTO,SERENA_YANG,2,Good
25-02-2017,ODM Mechanical,13,"X5NNP-ASSY,CVR,N-TCH,WLAN,GMLK12",1865,57495,GOLIADMLK12CTOE,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),1,Good
20-02-2016,CORD,10,16583_CFG,5000005,54089,TIGRISMTBTX,MOHD_KAMAL_BAKAR (POWER CORD),893,Good
02-04-2016,Battery,13,Titan_3_Primary_Thin,5000960,57455,TITAN14MLKBDWBTX,BTX_VOSTRO_NOTEBOOKS,1161,Bad
26-11-2016,ODD Mechanical,13,0R7X6_ASSY_SHLD,2190,62406,SWORDFISHCTO,DICK_LONERGAN_COMM_OPTI/FWS_GFX/NICS/OPTICAL,1042,Good
18-06-2016,Graphic Card,19,"CRD,GRPHC,4GB,W5100",2190,51633,TULUM MT,MAIREAD_MCLOUGHLIN_COMMERCIAL_GRAPHICS,1,Good
04-02-2017,ODD Mechanical,13,55DV1_KIT_BZL,1865,79717,PR52716BLUFINAIO,DEBRALEA_ROGERS(LARGE ORDERS),1,Good
07-01-2017,Battery,13,Belmont_3_Thin_Pris,5000004,59515,BELMONTBTX,BTX_CHROME,1,Bad
07-01-2017,LCD,15,15.6HD_AG_ULSLIM_E7_NBLCD,2190,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,1,Normal
26-03-2016,Graphic Card,19,"CRD,GRPHC,2GB,W2100",5000960,56526,AVALON5810CTO,SERENA_YANG,6,Good
25-06-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,5000960,62856,PARKCITY15BTX,BTX_LATITUDE,7,Bad
23-07-2016,Docking,8,APR2_DAO_130W,1865,73766,PR49598GOL14MLKA,JACQUEL_HIGHTOWER(LARGE ORDERS),1,Good
13-08-2016,CORD,10,78390_CFG,2190,56526,AVALON5810CTO,ANNMARIA_O'KELLY_CONSUM_FP,12,Good
18-06-2016,CORD,10,POWERCORD_3252P,2190,199,PARTS,KENNETH_HOGAN_ADAPTERS_POWERCORDS,10,Good
06-08-2016,SSD_NB_DT,8,SSD_NB_M2_2280_256GB_PCIe_NVMe,5000947,61590,DINO2BTX,BTX_XPS_NOTEBOOKS,32,Bad
06-08-2016,ODD Mechanical,13,DU555 - MHW,1865,61684,GOODYEARSKLBTX,BTX_XPS_DESKTOPS,1,Bad
19-03-2016,Speaker,18,29MKK - Speaker,5000947,78827,PR39963AMAZN7SFF,LANSON_LIN,1,Good
14-05-2016,SSD_NB_DT,8,SSD_NB_M2_2280_256GB_PCIe_NVMe,1865,81739,PR53930BVRCRK12O,DEBRALEA_ROGERS(LARGE ORDERS),1,Good
07-01-2017,LCD,15,15.6HD_AG_ULSLIM_E7_NBLCD,2190,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,1,Normal
02-01-2016,ODM Mechanical,13,"3JFVJ-ASSY,CVR,HNG CAP,N-T FHD,L,H14",5000947,57521,HOUSTON14CTO,PHOAY_HOON_TAN (LATI LCD),33,Good
04-02-2017,HDD_NB_DT,8,HDD_NB_2_5_1TB_5400_SATA3,5000004,60151,TULIP17SKLBTX,BTX_PERSONAL_NOTEBOOKS,1,Bad
02-07-2016,ADPT,13,Adapter_X65W_L6_3P_7.4_WW,5001417,54984,ROUND ROCKBTX,MOHD_KAMAL_BAKAR (ADAPTER),1,Good
26-12-2015,ODM Mechanical,13,"75KKT-HNG,CAP,RT,N-TCH,E7270",1865,62904,BEAVERCREEK12BTX,BTX_LATITUDE,1,Bad
16-07-2016,Wireless,8,CRD_WRLES_M.2_3165AC,2190,63886,PANDORA15SKLBTX,BTX_PERSONAL_NOTEBOOKS,577,Bad
31-12-2016,ODD,13,"V67V7-ASSY,CBL,SATA,ODD,SFF",1865,61709,TAHOESFFBTX,BTX_VOSTRO_DESKTOPS,1,Normal
02-04-2016,SSD_NB_DT,8,SSD_NB_FULL_MINI_256GB_SATA_FDE,5000947,57521,HOUSTON14CTO,CHOON_PHENG_OOI,1,Good
09-07-2016,ODD Mechanical,13,4270E_CFG,5001417,54265,GENERAL SFF BTX,BTX_PERSONAL_DESKTOPS,1,Bad
27-02-2016,ODM Mechanical,13,"1VDHM-ASSY,CVR,HNG,L,NTCH,E5570/3510",5000236,62857,PARKCITY15CTO,PHOAY_HOON_TAN (LATI LCD),3,Good
16-01-2016,LCD,15,12.5HD_AG_E6_NBLCD,5001417,57513,HOUSTON12BTX,BTX_LATITUDE,2,Bad
18-02-2017,ODM Mechanical,13,9GTFM_CFG,1865,57640,DINO13BTX,BTX_XPS_NOTEBOOKS,1,Bad
13-02-2016,ADPT,13,Adapter_X90W_L6_3P_7.4_WW,5000960,57513,HOUSTON12BTX,MOHD_KAMAL_BAKAR (ADAPTER),1,Good
13-02-2016,Keyboard_NBK,17,"GVM25-KYBD,105,POR,END3,WIN8,E5",2190,57368,FIGTREECTO,MIKE_SIMMONDS_COMM_NBK_KEYBOARDS,1,Good
13-08-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_FIPS_FDE_SATA3,5000947,69718,POTOMACCTO1,AI_RIN_HEA,1,Good
17-09-2016,Battery,13,Diesel_15_6_3.0_Primary,5000236,53291,DIESEL 15,NORMAWARZURA_MAT (BATTERY_APJ),1,Good
06-08-2016,ODD Mechanical,13,DU555 - MHW,1865,61684,GOODYEARSKLBTX,BTX_XPS_DESKTOPS,1,Bad
19-12-2015,Keyboard_NBK,17,"9R06C-KYBD,83,SWI/EUR,M15ISU-T",2190,62904,BEAVERCREEK12BTX,MIKE_SIMMONDS_COMM_NBK_KEYBOARDS,1,Good
21-05-2016,Memory,13,MEM_UDIMM_DDR3_1600_4GB,5000947,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,1,Normal
14-05-2016,Graphic Card,19,Dongle_DP-to-DVI-D(SL),2190,58007,AVALON 3 XL,KENNETH_HOGAN_COMMERCIAL_GRAPHICS,1,Good
